Varenr;Varenavn;Utpris ink.mva;Kjøpspris;Kjøpslistepris;Saldo;Varegr.1;Varegr.2;Varegr.3;Pakningsantall;Posteringsgruppe;Sist oppdatert;Leverandør;Lev. varenr;Saldo;Bruk frg/str
516538;Norrøna  lyngen PrimaLoft60 Jacket (M);2299,00;1149,500;1149,50;3,000;2;8;16;0;4;30.01.15 21:21:56;3;3154-12;3,000;True
340547;Devold  EXPEDITION MAN ZIP NECK;649,00;241,000;324,00;5,000;2;17;43;0;4;18.03.15 12:53:30;20;155-240;5,000;True
493452;Devold  WOOL MESH MAN LONG JOHNS;499,00;249,000;249,00;0,000;2;17;44;0;4;30.01.15 07:45:16;20;152-100;0,000;True
340558;Devold  BREEZE MAN SHIRT;499,00;249,000;249,00;0,000;2;17;42;0;4;11.01.15 15:59:01;20;180-220;0,000;True
493490;Devold  BREEZE MAN ZIP NECK;599,00;299,000;299,00;1,000;2;17;43;0;4;11.01.15 15:59:01;20;180-240;1,000;True
593356;Norrøna  trollveggen dri3 Pants (M);2999,00;1499,500;1499,50;1,00;2;8;11;0;4;30.01.15 20:52:08;3;3005-13;1,00;True
493454;Devold  WOOL MESH MAN SLEEVELESS;349,00;174,000;174,00;0,000;2;17;43;0;4;11.01.15 15:59:01;20;152-204;0,000;True
589187;Devold  WOOL MESH MAN ZIP NECK;599,00;299,000;299,00;0,000;2;17;42;0;4;22.02.15 14:58:05;20;152-240;0,000;True
589193;Devold  EXPEDITION MAN ZIP NECK;649,00;324,000;324,00;1,00;2;17;42;0;4;11.01.15 15:59:01;20;155-240;1,00;True
807562;Norrøna  falketind Gore-Tex Jacket (M);3999,00;1614,575;1899,50;2,000;2;3;16;0;4;05.03.15 13:15:22;3;3310-14;2,000;True
589194;Devold  EXPEDITION WOMAN ZIP NECK;599,00;299,000;299,00;2,000;2;17;45;0;4;11.01.15 15:59:01;20;155-244;2,000;True
340549;Devold  EXPEDITION WOMAN ZIP NECK;649,00;241,000;324,00;3,000;2;17;46;0;4;11.02.15 14:43:26;20;155-244;3,000;True
493388;Devold  PULSE WOMAN BRA;399,00;199,000;199,00;1,00;2;17;47;0;4;30.01.15 07:42:15;20;113-200;1,00;True
589222;Devold  BREEZE WOMAN SHIRT;499,00;249,000;249,00;0,000;2;17;45;0;4;11.01.15 15:59:02;20;180-229;0,000;True
132343;Devold  Expedition Woman Zip Neck;549,00;269,000;269,00;1,00;2;17;46;0;4;30.01.15 07:25:54;20;155-244;1,00;True
493491;Devold  BREEZE WOMAN ZIP NECK;599,00;299,000;299,00;0,000;2;17;46;0;4;11.01.15 15:59:02;20;180-244;0,000;True
132400;Devold  WOOL FLEECE WOMAN BRA;349,00;169,000;169,00;1,00;2;17;47;0;4;30.01.15 07:30:29;20;454-200;1,00;True
741606;Norrøna  falketind Gore-Tex Jacket (M);3999,00;1899,500;1899,50;1,000;2;3;16;0;4;05.03.15 13:13:14;3;3310-14;1,000;True
684512;Devold  BREEZE WOMAN T-SHIRT;449,00;224,000;224,00;0,000;2;17;45;0;4;30.01.15 07:42:46;20;180-217;0,000;True
589192;Devold  EXPEDITION MAN LONG JOHNS;549,00;274,000;274,00;1,000;2;17;42;0;4;11.01.15 15:59:02;20;155-124;1,000;True
493475;Devold  BREEZE MAN LONG JOHNS;499,00;249,000;249,00;1,000;2;17;44;0;4;11.01.15 15:59:02;20;180-124;1,000;True
340542;Devold  EXPEDITION WOMAN LONG JOHNS;549,00;232,900;274,00;9,000;2;17;48;0;4;20.02.15 14:03:09;20;155-110;9,000;True
516335;Norrøna  svalbard arktis cott Pant M/W;1499,00;749,500;749,50;3,000;2;8;11;0;4;30.01.15 21:18:47;3;0123-07;3,000;True
132335;Devold  Expedition Woman Long Johns;499,00;239,000;239,00;1,00;2;17;48;0;4;30.01.15 07:37:58;20;155-110;1,00;True
493474;Devold  BREEZE WOMAN LONG JOHNS;499,00;249,000;249,00;0,000;2;17;48;0;4;11.01.15 15:59:02;20;180-110;0,000;True
132289;Devold  Multi Sport Woman Long Johns;449,00;214,000;214,00;1,00;2;17;48;0;4;30.01.15 07:27:03;20;146-110;1,00;True
506765;Åsnes  AMUNDSEN M. FELLELÅS;3399,00;1323,000;1699,50;6,000;6;18;49;0;4;31.03.15 12:44:53;15;540187;6,000;True
807564;Norrøna  falketind Gore-Tex Pants (M);3299,00;1499,500;1499,50;2,000;2;3;11;0;4;05.03.15 14:05:41;3;3311-14;2,000;True
